code,X90301,X90302,X90303,X90304,X90305,X90306,X90307,X90308,X90309,X90310,X91807
taluk,Gadag,Gadag,Gadag,Gadag,Gadag,Gadag,Gadag,Gadag,Gadag,Gadag,Gadag
village,HULKOTI,HUILGOL,PAPANASHI,HARTI,GADAG,BELADHADI,KURTAKOTI,YELISHIRUNJA(Y.SHIRUR),LAKKUNDI,HARLAPUR,Lakundi
lat,15.425,15.525,15.36667,15.325,15.42361,15.34028,15.37361,15.27222,15.14028,15.42083,15.14028
long,75.55,75.65833,75.68333,75.55833,75.62917,75.62083,75.52556,75.60222,75.71667,75.77444,75.71667
1/1/2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/1/2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/1/2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/1/2007,0,21.35,27.3,0,19.2,17.48,11.06,18,0,0,0
5/1/2007,0,21.35,27.3,0,19.02,17.48,11.06,18,0,0,0
6/1/2007,0,21.35,27.3,0,19.02,17.48,11.06,18,0,0,0
7/1/2007,5.25,19.99,26.45,0,16.58,16.95,9.65,16.7,14.55,4.5,0
8/1/2007,4.2,18.35,24.45,0,15.7,15.95,8.02,14.79,11.75,4.15,0
9/1/2007,2.45,13.95,19.55,0,0,0,3.86,11.6,0,2.62,0
10/1/2007,1.86,19.3,17,7.3,0,0,3.1,8,18.25,2.25,0
11/1/2007,0,9.5,0,0,0,0,0,0,0,2.28,0
12/1/2007,4.71,9.6,17.95,7.4,0,0,4.7,9.9,0,3.75,0
1/1/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/1/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/1/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/1/2008,7.19,13.25,21.2,0,14.68,13.54,7.5,13.21,0,0,0
5/1/2008,7.19,13.25,21.2,0,14.68,13.54,9.97,13.21,0,0,0
6/1/2008,7.19,13.25,21.2,0,14.68,13.54,7.5,13.21,0,0,0
7/1/2008,8.15,14.95,22.95,0,16.77,15.65,9.04,14.71,0,0,0
8/1/2008,8.5,15.1,23.05,0,16.7,15.85,9.15,14.85,0,0,0
9/1/2008,8.6,15.22,23.2,0,0,0,9.22,14.95,0,0,0
10/1/2008,8.45,0,23,8.45,0,0,9.15,14.5,0,0,0
11/1/2008,8.6,0,23.5,0,0,0,9.4,15.1,0,0,0
12/1/2008,8.65,0,23.7,11.3,0,0,9.45,15.2,6.09,0,0
1/1/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/1/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/1/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/1/2009,0,0,24.29,0,12.1,17.16,9.97,15.74,6.2,0,0
5/1/2009,NA,0,24.29,0,16.17,17.16,2.3,15.74,6.2,0,6.2
6/1/2009,0,0,24.29,0,16.17,17.16,9.97,15.74,6.2,0,0
7/1/2009,0,0,24.6,0,17.2,18.03,10.62,16.9,6.85,0,0
8/1/2009,0,0,24.8,0,17.42,18.65,10.92,16.22,6.9,0,0
9/1/2009,8.5,0,24.65,0,0,0,10.75,15.94,0,0,0
10/1/2009,8.4,0,24.5,16.65,0,0,10.5,15,4.9,0,0
11/1/2009,2.95,0,23,0,0,0,1.25,3.94,4.6,0,0
12/1/2009,4.9,0,0,16.8,0,0,2.6,4.02,3.85,0,0
1/1/2010,2.6,Pump installed,Lock Jam,Cap Jam,6.5,Collapsed,1.76,3.88,5.6,Dry,NA
2/1/2010,2.74,Pump installed,Lock Jam,cap Jam,9,Collapsed,2.26,4.24,6.15,Dry,NA
3/1/2010,3,Pump installed,Lock Jam,Cap Jam,11.5,Collapsed,2.9,4.9,5.59,Dry,NA
4/1/2010,3.2,Pump installed,Lock Jam,Cap Jam,12.1,Collapsed,2.3,5.7,6.2,Dry,NA
5/1/2010,3.5,Pump installed,13.95,8.65,12.4,Collapsed,2.9,6,6.4,Dry,NA
6/1/2010,2.6,Pump installed,15.5,8.9,12.45,Collapsed,2,3.88,6.3,Dry,NA
7/1/2010,3.5,Pump installed,15.15,7.75,12.2,Collapsed,1.95,6.45,6.85,4.6,NA
8/1/2010,3.3,Pump installed,15,7.5,11.8,Collapsed,1.75,6.2,6.9,4.2,NA
9/1/2010,2.15,Pump installed,14.7,6.5,11.6,Collapsed,1.5,5.6,6.7,4,NA
10/1/2010,1.6,Pump installed,Lock Jam,5.25,9.8,Collapsed,1.7,4.2,4.9,3.4,NA
11/1/2010,1.4,Pump installed,Lock Jam,5.45,9.95,Collapsed,0.7,4,4.6,3,NA
12/1/2010,2,Pump installed,Lock Jam,4.25,9.9,Collapsed,0.9,3.6,3.85,2.6,NA
1/1/2011,2.150000095,Pump installed,Fiiled up,4.849999905,8.75,Collapsed,1.25,4.300000191,4.199999809,2.799999952,NA
2/1/2011,2.5,Pump installed,Fiiled up,4.900000095,8.579999924,Collapsed,1.450000048,4.800000191,4.699999809,3,NA
3/1/2011,2.599999905,Pump installed,Fiiled up,6.300000191,8.800000191,Collapsed,1.5,4.900000095,5.300000191,3.200000048,NA
4/1/2011,2.700000048,Pump installed,Fiiled up,6.900000095,8.899999619,Collapsed,1.700000048,5.099999905,5.400000095,3.400000095,NA
5/1/2011,2.799999952,Pump installed,Fiiled up,6.900000095,6.5,Collapsed,1.799999952,4.599999905,5.900000095,3.400000095,NA
6/1/2011,3.799999952,Pump installed,Fiiled up,6.900000095,6.900000095,Collapsed,3.200000048,4.449999809,5.400000095,4.800000191,NA
7/1/2011,3.200000048,Pump installed,Fiiled up,7,5.900000095,Collapsed,1.5,5.199999809,5.199999809,3.200000048,NA
8/1/2011,3.099999905,Pump installed,Fiiled up,6.900000095,6,Collapsed,1.799999952,5,5.800000191,3,NA
9/1/2011,3.299999952,Pump installed,Fiiled up,7.099999905,6.4,Collapsed,1.899999976,5.099999905,6,3.400000095,NA
10/1/2011,3.5,Pump installed,Fiiled up,7.300000191,7,Collapsed,2.099999905,5.400000095,6.300000191,3.799999952,NA
11/1/2011,3.200000048,Pump installed,Fiiled up,6.699999809,7.650000095,Collapsed,1.700000048,5.199999809,6.400000095,4.099999905,NA
12/1/2011,3,Pump installed,Fiiled up,7.400000095,7.900000095,Collapsed,1.700000048,7.199999809,6.550000191,4.5,NA
