code,X91001,X91003,X91005,X91006,X91007,X91804,X91805,X91806,X91807
taluk,Mundragi,Mundragi,Mundragi,Mundragi,Mundragi,Mundragi,Mundragi,Mundragi,Mundragi
village,BARDUR,DAMBAL,BAGEWADI,DONI,KALKERI,Kalkeri,Dambal,Doni,Lakundi
lat,15.23333,15.29389,15.11667,15.295,15.15972,15.15694,15.29306,15.29722,15.39194
long,75.86667,75.775,75.76667,75.72583,75.25417,75.8375,75.775,75.76111,75.71667
2007-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-04-01,23.95,0,21.1,0,0,0,0,0,NA
2007-05-01,23.25,0,21.1,0,0,0,0,0,NA
2007-06-01,23.25,0,21.1,0,0,0,0,0,NA
2007-07-01,20.1,14.65,17.16,9.62,0,0,0,0,NA
2007-08-01,18.35,12,14.13,8.37,0,0,0,0,NA
2007-09-01,13.3,8.61,8.8,0,0,0,0,0,NA
2007-10-01,11.3,0,7.3,5,0,0,0,0,NA
2007-11-01,12.1,0,0,0,0,0,0,0,NA
2007-12-01,12.6,0,0,0,0,0,0,0,NA
2008-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-04-01,14.75,0,10.4,0,0,0,0,0,NA
2008-05-01,14.75,0,10.4,0,0,0,0,0,NA
2008-06-01,14.75,0,10.4,0,0,0,0,0,NA
2008-07-01,16.39,0,22.75,0,0,0,0,0,NA
2008-08-01,16.5,0,22.32,0,0,0,0,0,NA
2008-09-01,16.65,0,23,0,0,0,0,0,NA
2008-10-01,16.6,0,22.9,0,0,0,0,0,NA
2008-11-01,16.85,0,23,0,0,0,0,0,NA
2008-12-01,16.95,6.35,23.1,0,0,0,0,0,NA
2009-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-04-01,17.47,7.5,23.68,0,0,0,0,0,NA
2009-05-01,17.41,7.05,23.68,0,0,0,0,0,NA
2009-06-01,17.47,7.05,23.68,0,0,0,0,0,NA
2009-07-01,17.97,8.1,24.12,0,0,0,0,0,NA
2009-08-01,18.22,9.2,5.5,0,0,0,0,0,NA
2009-09-01,18.37,8.9,24.45,0,0,0,0,0,NA
2009-10-01,18.15,7.65,24.9,0,0,0,0,0,NA
2009-11-01,12.5,7.5,12.3,0,0,0,0,0,NA
2009-12-01,12.5,8.55,3.7,5.25,0,0,0,5.25,NA
2010-01-01,12.2,6.75,3.3,5.47,1.50999999046326,Not drilled,Not drilled,Not drilled,Not drilled
2010-02-01,13.48,7.52,2.1,5.62,1.46000003814697,Not drilled,Not drilled,Not drilled,Not drilled
2010-03-01,14.9,7.65,1.3,5.9,1.39999997615814,Not drilled,Not drilled,Not drilled,Not drilled
2010-04-01,16.2,7.05,4.9,6.02,1.29999995231628,Not drilled,Not drilled,Not drilled,Not drilled
2010-05-01,16.6,7.55,5.3,6,1.39999997615814,Not drilled,Not drilled,Not drilled,Not drilled
2010-06-01,14.2,8.25,6.05,6.1,1.39999997615814,Not drilled,Not drilled,Not drilled,Not drilled
2010-07-01,16.65,8.1,5.85,5.85,1,Not drilled,Not drilled,Not drilled,Not drilled
2010-08-01,16.4,9.2,5.5,5.65,1.39999997615814,Not drilled,Not drilled,Not drilled,Not drilled
2010-09-01,16,8.9,4.2,5.5,1.20000004768372,Not drilled,Not drilled,Not drilled,Not drilled
2010-10-01,15.8,7.95,6.2,4.92,1.29999995231628,Not drilled,Not drilled,Not drilled,Not drilled
2010-11-01,16,7.5,6.3,4.75,1.20000004768372,Not drilled,Not drilled,Not drilled,Not drilled
2010-12-01,15,8.55,6.6,5.22,1.39999997615814,Not drilled,Not drilled,Not drilled,Not drilled
2011-01-01,12.78,10.1499996185303,6.90000009536743,5.72,1.60000002384186,Not drilled,Not drilled,Not drilled,Not drilled
2011-02-01,12.9,10.3000001907349,6,6,1.20000004768372,Not drilled,Not drilled,Not drilled,Not drilled
2011-03-01,13,9.85000038146973,5,5.71999979019165,1.20000004768372,Not drilled,Not drilled,Not drilled,Not drilled
2011-04-01,13.2,10,6,6,1.29999995231628,Not drilled,Not drilled,Not drilled,Not drilled
2011-05-01,12.3,10.3999996185303,5.40000009536743,5.59999990463257,1.89999997615814,Not drilled,Not drilled,Not drilled,Not drilled
2011-06-01,12,10.6000003814697,5.90000009536743,5.90000009536743,2,Not drilled,Not drilled,Not drilled,Not drilled
2011-07-01,11.9,10.1999998092651,5.5,6,1.60000002384186,Not drilled,Not drilled,Not drilled,Not drilled
2011-08-01,11.8,9,6.80000019073486,5.42000007629395,1.29999995231628,Not drilled,Not drilled,Not drilled,Not drilled
