code,X091416HP,X091417HP,X091418HP,X91401,X91403,X91404,X91405,X91407,X91408,X91409,X91414,X91808,X91809
taluk,Ron,Ron,Ron,Ron,Ron,Ron,Ron,Ron,Ron,Ron,Ron,Ron,Ron
village,NIDAGUNDI,HOSALLI,JAKKALI,GAJENDRAGAD,NIDAGUNDI,HOSALLI,MUSHIGERI,SUDI,RON,NAREGAL,HIREHAL,Belavanaki,Mallapura
lat,15.65972,15.70139,15.61944,15.7375,15.65972,15.70139,15.79722,15.72917,15.7,15.57083,15.8,15.66667,15.66889
long,75.84861,75.81111,75.78611,75.96667,75.86528,75.81111,75.85694,75.86389,75.73333,75.80833,75.76667,75.56861,75.62361
2007-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-04-01,0,28.1,38.12,29.7,0,0,46.3,26.9,21.56,32.56,21.95,0,0
2007-05-01,0,28.1,38.12,29.7,0,0,46.3,26.9,31.56,32.56,21.95,0,0
2007-06-01,0,28.1,38.12,29.7,0,0,46.3,27.5,31.56,32.56,21.95,0,0
2007-07-01,0,0,0,26.73,0,0,44.45,25.63,2937,29.46,19.45,0,0
2007-08-01,0,7.05,31.65,24.35,0,8,41.45,23.7,27.3,29.65,17.56,0,0
2007-09-01,0,12.5,26.33,19.047,0,0,34.16,16.81,20.5,29,13.6,0,0
2007-10-01,0,10.72,24,16.1,0,5,30.12,15,18.3,29,10.15,0,0
2007-11-01,0,12.3,24.95,17.6,0,6.25,30.62,15.75,18.9,20.66,11,0,0
2007-12-01,0,13.1,25.21,17.98,0,6.5,30.94,16.2,19.87,20.94,11.4,0,0
2008-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-04-01,0,15.85,28,20.7,0,8.68,33.6,16.6,21.5,23.15,15,0,0
2008-05-01,0,15.85,28,20.7,0,8.69,33.6,16.6,21.5,23.15,15,0,0
2008-06-01,0,15.85,28,20.7,0,8.69,33.6,17.33,21.5,23.15,15,0,0
2008-07-01,0,18.2,0,22.62,NA,0,35.32,19.13,26,25.15,16.56,0,0
2008-08-01,0,18.35,32,22.1,18.9,0,35.5,19.3,25.2,25.3,16.1,0,0
2008-09-01,0,18.5,32.15,22.8,18.15,0,35.17,19.5,26.5,25.5,16.8,0,0
2008-10-01,0,18.3,32,22.7,18,0,35.5,19.15,26,25.1,16.5,0,0
2008-11-01,0,14.49,32.23,22.85,18.2,0,35.8,19.55,26.4,25.47,16.95,0,0
2008-12-01,0,85.9,35.5,22.95,0,0,36,20,16.5,25.55,17,0,0
2009-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-04-01,0,0,32.89,24.15,0,0,35.53,20.65,27.4,26.08,17.51,0,0
2009-05-01,0,0,32.89,24.15,0,0,0,20.65,27.4,26.08,17.511,0,0
2009-06-01,0,0,32.89,24.15,0,0,36.53,20.93,27.4,26.08,17.51,0,0
2009-07-01,0,19.9,33.69,24.2,17.95,0,36.63,20.67,27,26.27,17.96,0,0
2009-08-01,0,21.12,33.84,24.3,0,0,36.77,20.97,27.27,26.42,18.1,0,0
2009-09-01,0,19,33.24,24.08,0,0,36.12,20.42,26.71,26,18,0,0
2009-10-01,0,19.5,33,23.85,0,0,36.1,20.2,26.15,26.08,17.75,0,0
2009-11-01,0,10,26,15.25,0,10,30,17.18,20.16,20.9,15.1,0,0
2009-12-01,0,9.5,21.98,11.3,0,9.5,0,0,0,7.82,12.93,0,0
2010-01-01,11,10,19.7800006866455,11.75,Dry,10,Cap Jam,Cap Jam,Pump installed,10.8000001907349,13.0200004577637,Not drilled,Not drilled
2010-02-01,11.6499996185303,7.40000009536743,21.7800006866455,12.1000003814697,Dry,7.69999980926514,Cap Jam,Cap Jam,Pump installed,10.6300001144409,13.1300001144409,Not drilled,Not drilled
2010-03-01,12,6.30000019073486,23.8999996185303,12.6999998092651,Dry,6.30000019073486,Cap Jam,Cap Jam,Pump installed,11.3999996185303,13.5299997329712,Not drilled,Not drilled
2010-04-01,11.25,6.5,22.0799999237061,13,Dry,6.80000019073486,Cap Jam,Cap Jam,Pump installed,11.6800003051758,14,Not drilled,Not drilled
2010-05-01,10.6499996185303,7.19999980926514,23.1000003814697,15.8500003814697,Dry,7.19999980926514,26.4500007629395,17.5,Pump installed,11.9499998092651,14.3000001907349,Not drilled,Not drilled
2010-06-01,11.3999996185303,9.80000019073486,21.3299999237061,14,Dry,9.80000019073486,29.5499992370605,16,Pump installed,12.0299997329712,13.3999996185303,Not drilled,Not drilled
2010-07-01,11,9,21.2800006866455,11.25,Dry,9,24.8500003814697,11.4499998092651,Pump installed,11.3500003814697,13.25,Not drilled,Not drilled
2010-08-01,10.6999998092651,8.80000019073486,21,11.1000003814697,Dry,8.80000019073486,22.75,11,Pump installed,10.8999996185303,13,Not drilled,Not drilled
2010-09-01,10.6000003814697,8.69999980926514,20.7000007629395,8.89999961853027,Dry,8.69999980926514,22.3500003814697,10.8000001907349,Pump installed,10.8,13.3999996185303,Not drilled,Not drilled
2010-10-01,10.8000001907349,7.80000019073486,18.8999996185303,10.1999998092651,Dry,7.80000019073486,23.2999992370605,14,Pump installed,7.9,13.8999996185303,Not drilled,Not drilled
2010-11-01,10.6800003051758,7.40000009536743,18.7999992370605,10,Dry,7.40000009536743,23.7000007629395,13.8999996185303,Pump installed,7.75,13.8000001907349,Not drilled,Not drilled
2010-12-01,10.6999998092651,7.59999990463257,18.6800003051758,10.1999998092651,Dry,7.59999990463257,23.8999996185303,16,Pump installed,7.8,14.3000001907349,Not drilled,Not drilled
2011-01-01,11,7.9,18,10.5,Dry,7.90000009536743,24,16.3999996185303,Pump installed,7.90000009536743,14.3999996185303,Not drilled,Not drilled
2011-02-01,10.8000001907349,Lock Jam,18.8500003814697,11.6000003814697,Dry,8.5,24.7000007629395,15,Pump installed,7.78000020980835,14.6000003814697,Not drilled,Not drilled
2011-03-01,10.6000003814697,Lock Jam,18.4799995422363,14.3500003814697,Dry,8.80000019073486,Cap Jam,14.6000003814697,Pump installed,8.27999973297119,13.5,Not drilled,Not drilled
2011-04-01,Dry,Lock Jam,18,15.8000001907349,Dry,9,Cap Jam,13.3000001907349,Pump installed,8.80000019073486,13.25,Not drilled,Not drilled
2011-05-01,15.1000003814697,Lock Jam,16.8999996185303,15.6000003814697,Dry,Dry,Cap Jam,12.5,Pump installed,10,12.8999996185303,Not drilled,Not drilled
2011-06-01,15.5,Lock Jam,16,15.1999998092651,Dry,Dry,Cap Jam,14.6999998092651,Pump installed,10.1999998092651,12.4499998092651,Not drilled,Not drilled
2011-07-01,15.1000003814697,Lock Jam,15.5,15.1000003814697,Dry,Dry,Cap Jam,14.8000001907349,Pump installed,9.80000019073486,12.25,Not drilled,Not drilled
2011-08-01,15.1499996185303,Lock Jam,15.25,15.1499996185303,Dry,Dry,Cap Jam,14.5,Pump installed,9.5,12,Not drilled,Not drilled
2011-09-01,15.3000001907349,Lock Jam,16,15.8000001907349,Dry,Dry,Cap Jam,14.3000001907349,Pump installed,9.8,12.1000003814697,Not drilled,Not drilled
2011-10-01,16.1000003814697,Lock Jam,17.28,16,Dry,Dry,Cap Jam,14.5,Pump installed,9.89999961853027,12.6999998092651,Not drilled,Not drilled
2011-11-01,16.3999996185303,Lock Jam,17.6,16.1000003814697,Dry,Dry,Cap Jam,14.6000003814697,Pump installed,10.1999998092651,12.8000001907349,Not drilled,Not drilled
2011-12-01,16.8999996185303,Lock Jam,18.15,16.5,Dry,Dry,Cap Jam,14.25,Pump installed,10.6000003814697,13.1499996185303,Not drilled,Not drilled
2012-01-01,17.3999996185303,Lock Jam,19,17,Dry,Dry,Cap Jam,14.6999998092651,Dry,11.1000003814697,13.5,Not drilled,Not drilled
2012-02-01,17.8999996185303,Lock Jam,19.8999996185303,17.5,Dry,Dry,Cap Jam,15.1000003814697,Dry,13.5,13.8999996185303,Not drilled,Not drilled
2012-03-01,18.2999992370605,Lock Jam,20.0300006866455,18.2000007629395,Dry,Dry,Cap Jam,16.8999996185303,Dry,14.5,14.8000001907349,Not drilled,Not drilled
2012-04-01,18.6000003814697,Lock Jam,20.6000003814697,18.7000007629395,Dry,Dry,Cap Jam,18.4500007629395,Dry,15.3000001907349,15.5,Not drilled,Not drilled
2012-05-01,18.7000007629395,Lock Jam,20.7000007629395,18.5,Dry,Dry,Cap Jam,19.4500007629395,Dry,15.6999998092651,15.8000001907349,Not drilled,Not drilled
2012-06-01,18.7999992370605,Lock Jam,20.7999992370605,18.8999996185303,Dry,Dry,Cap Jam,19.5,Dry,16.7999992370605,16.1000003814697,Not drilled,Not drilled
2012-07-01,18.6000003814697,Lock Jam,20.6499996185303,18.6000003814697,Dry,Dry,Cap Jam,19.3999996185303,Dry,16.1000003814697,15.8000001907349,Not drilled,Not drilled
2012-08-01,18.75,Lock Jam,20.75,18.2999992370605,Dry,Dry,Cap Jam,19.1000003814697,Dry,16.2000007629395,15.3999996185303,Not drilled,Not drilled
2012-09-01,18.5499992370605,Lock Jam,20.5,17.8999996185303,Dry,Dry,Cap Jam,18.75,Dry,16,15.1499996185303,7.15000009536743,24.5
2012-10-01,17.3,Lock Jam,20.25,17.5499992370605,Dry,Dry,15.1499996185303,18.6499996185303,Dry,15.8500003814697,15,7,24
2012-11-01,17.2999992370605,Lock Jam,19.5300006866455,18.2999992370605,Dry,Dry,15.1499996185303,19,Dry,16.3999996185303,15.8999996185303,6.30000019073486,25.5499992370605
2012-12-01,16.8999996185303,Lock Jam,19.2000007629395,19.7999992370605,Dry,Dry,18.1000003814697,19.6000003814697,Dry,17.3999996185303,16.5,6.69999980926514,27.5499992370605
2013-01-01,17.1000003814697,Lock Jam,19.5,21.2999992370605,Dry,Dry,19.7999992370605,20.2999992370605,Pump installed,18.6000003814697,17.2000007629395,6.09999990463257,29.2000007629395
2013-02-01,17.3999996185303,Lock Jam,19.8999996185303,22.7999992370605,Dry,Dry,21.6000003814697,21.1000003814697,Pump installed,19.8999996185303,18.1000003814697,6.5,31.1000003814697
2013-03-01,17.9,Lock Jam,20.3999996185303,24.3999996185303,Dry,Dry,23.5,22,Pump installed,21.2999992370605,19.1000003814697,7,33.0999984741211
2013-04-01,17.8,Lock Jam,21.1000003814697,26.1000003814697,Dry,Dry,25.5,22.8999996185303,Pump installed,22.7999992370605,20.2000007629395,7.59999990463257,35.2000007629395
2013-05-01,15,Lock Jam,21,27,Dry,Dry,26.2000007629395,23.1499996185303,Pump installed,23.1000003814697,20.3999996185303,7.5,35.7000007629395
2013-06-01,15.6000003814697,Lock Jam,18.8999996185303,26.5,Dry,Dry,26.3999996185303,20.8999996185303,Pump installed,Dry,20.5,7.09999990463257,35.0999984741211
2013-07-01,16.1000003814697,Lock Jam,19.1499996185303,26.6499996185303,Dry,Dry,27,20.7000007629395,Pump installed,Dry,20.75,7.25,35.4500007629395
2013-08-01,16.2999992370605,Lock Jam,19,26.7999992370605,Dry,Dry,27.5,20.4500007629395,Pump installed,Dry,20.2000007629395,7,35.4000015258789
2013-09-01,16.3999996185303,Lock Jam,18.9500007629395,26.7999992370605,Dry,Dry,27.7000007629395,20.3999996185303,Pump installed,Dry,21.2999992370605,6.90000009536743,35.3499984741211
2013-10-01,16.3500003814697,Lock Jam,18.8500003814697,26.6000003814697,Dry,Dry,27.6000003814697,20.2999992370605,Pump installed,Dry,21.1499996185303,6.75,35.25
2013-11-01,16.5,Lock Jam,19.0499992370605,26.5,Dry,Dry,27.6499996185303,20.1000003814697,Pump installed,Dry,21,6.59999990463257,35.1500015258789
2013-12-01,16.7000007629395,Lock Jam,19.2999992370605,26.3999996185303,Dry,Dry,27.75,20,Pump installed,Dry,21.3999996185303,6.69999980926514,35.2999992370605
2014-01-01,16.9500007629395,Lock Jam,19.6000003814697,26.5,Dry,Dry,27.8500003814697,20.1000003814697,Pump installed,Dry,21.2000007629395,6.84999990463257,35.5
2014-02-01,17.2999992370605,Lock Jam,20,26.6499996185303,Dry,Dry,28,20.2999992370605,Pump installed,Dry,21.3999996185303,7.09999990463257,35.75
2014-03-01,17.7000007629395,Lock Jam,20.4500007629395,26.8500003814697,Dry,Dry,28.1800003051758,20.5499992370605,Pump installed,Dry,21.6299991607666,7.40000009536743,36
2014-04-01,18.1499996185303,Lock Jam,20.9500007629395,27.1000003814697,Dry,Dry,28.1399993896484,20.8500003814697,Pump installed,Dry,21.9099998474121,7.75,36.2999992370605
2014-05-01,18.4500007629395,Lock Jam,21.3500003814697,27.2999992370605,Dry,Dry,28.7700004577637,21.1000003814697,Pump installed,Dry,Cap Jam,8,36.5
2014-06-01,18.75,Lock Jam,21.75,27.4500007629395,Dry,Dry,28.9200000762939,21.2999992370605,Pump installed,Dry,Cap Jam,8.22000026702881,36.6500015258789
2014-07-01,18.7999992370605,Lock Jam,21.8500003814697,27.3500003814697,Dry,Dry,28.8199996948242,21.2000007629395,Pump installed,Dry,Cap Jam,8.14000034332275,35.4000015258789
2014-08-01,18.2999992370605,Lock Jam,21.2999992370605,26.1000003814697,Dry,Dry,27.7999992370605,20.0300006866455,Pump installed,Dry,Cap Jam,7.30000019073486,34.5
2014-09-01,18,Lock Jam,20.8999996185303,25.1000003814697,Dry,Dry,29.8999996185303,19,Pump installed,Dry,Cap Jam,6.80000019073486,34
2014-10-01,17,Lock Jam,20.7000007629395,24.2999992370605,Dry,Dry,26.2000007629395,18.8999996185303,Pump installed,Dry,Cap Jam,6.5,34.5
2014-11-01,17.8999996185303,Lock Jam,20.6000003814697,23.7000007629395,Dry,Dry,25.7000007629395,18.5,Pump installed,Dry,Cap Jam,6.30000019073486,33.7000007629395
