"code","90310"
"taluk","Gadag"
"village","HARLAPUR"
"lat","15.42083"
"long","75.77444"
"2007-04-01","0"
"2007-05-01","0"
"2007-06-01","0"
"2007-07-01","4.5"
"2007-08-01","4.15"
"2007-09-01","2.62"
"2007-10-01","2.25"
"2007-11-01","2.28"
"2007-12-01","3.75"
"2008-04-01",0
"2008-05-01",0
"2008-06-01",0
"2008-07-01",0
"2008-08-01",0
"2008-09-01",0
"2008-10-01",0
"2008-11-01",0
"2008-12-01",0
"2009-04-01","0"
"2009-05-01","0"
"2009-06-01","0"
"2009-07-01","0"
"2009-08-01","0"
"2009-09-01","0"
"2009-10-01","0"
"2009-11-01","0"
"2009-12-01","0"
"2010-01-01","Dry"
"2010-02-01","Dry"
"2010-03-01","Dry"
"2010-04-01","Dry"
"2010-05-01","Dry"
"2010-06-01","Dry"
"2010-07-01","4.6"
"2010-08-01","4.2"
"2010-09-01","4"
"2010-10-01","3.4"
"2010-11-01","3"
"2010-12-01","2.6"
"2011-01-01","2.79999995231628"
"2011-02-01","3"
"2011-03-01","3.20000004768372"
"2011-04-01","3.40000009536743"
"2011-05-01","3.40000009536743"
"2011-06-01","4.80000019073486"
"2011-07-01","3.20000004768372"
"2011-08-01","3"
"2011-09-01","3.40000009536743"
"2011-10-01","3.79999995231628"
"2011-11-01","4.09999990463257"
"2011-12-01","4.5"
"2012-01-01","5.19999980926514"
"2012-02-01","6.09999990463257"
"2012-03-01","6.90000009536743"
"2012-04-01","Fiiled up"
"2012-05-01","Fiiled up"
"2012-06-01","Fiiled up"
"2012-07-01","Fiiled up"
"2012-08-01","Fiiled up"
"2012-09-01","Fiiled up"
"2012-10-01","Fiiled up"
"2012-11-01","Fiiled up"
"2012-12-01","Fiiled up"
"2013-01-01","Fiiled up"
"2013-02-01","Fiiled up"
"2013-03-01","Fiiled up"
"2013-04-01","Fiiled up"
"2013-05-01","Fiiled up"
"2013-06-01","Fiiled up"
"2013-07-01","Fiiled up"
"2013-08-01","Fiiled up"
"2013-09-01","Fiiled up"
"2013-10-01","Fiiled up"
"2013-11-01","Fiiled up"
"2013-12-01","Fiiled up"
"2014-01-01","Fiiled up"
"2014-02-01","Fiiled up"
"2014-03-01","Fiiled up"
"2014-04-01","Fiiled up"
"2014-05-01","Fiiled up"
"2014-06-01","Fiiled up"
"2014-07-01","Fiiled up"
"2014-08-01","Fiiled up"
"2014-09-01","Fiiled up"
"2014-10-01","Fiiled up"
"2014-11-01","Fiiled up"
"2014-12-01","Fiiled up"
"2015-01-01","Fiiled up"
"2015-02-01","Fiiled up"
"2015-03-01","Fiiled up"
"2015-04-01","Fiiled up"
"2015-05-01","Fiiled up"
"2015-06-01","Fiiled up"
"2015-07-01","Fiiled up"
"2015-08-01","Fiiled up"
"2015-09-01","Fiiled up"
"2015-10-01","Fiiled up"
"2015-11-01","Fiiled up"
"2015-12-01","Fiiled up"
"2016-01-01","Fiiled up"
"2016-02-01","Fiiled up"
"2016-03-01","Fiiled up"
"2016-04-01","0"
"2016-05-01"," "
"2016-06-01","Fiiled up"
"2016-07-01","Fiiled up"
"2016-08-01","Fiiled up"
"2016-09-01","Fiiled up"
"2016-10-01","Fiiled up"
"2016-11-01","6.6"
"2017-01-01","7.1"
"2017-02-01","7.2"
"2017-03-01","7.5"
"2017-04-01","8"
"2017-05-01","-"
"2017-06-01",NA
"2017-07-01","Filled Up"
"2017-08-01",NA
"2017-09-01",NA
"2017-10-01","Filled Up"
"2017-11-01","Filled Up"
"2017-12-01","Closed"
"2018-01-01","Filled Up"
"2018-02-01","Filled Up"
"2018-03-01","Filled Up"
"2018-04-01","Filled Up"
"2018-05-01","Filled Up"
"2018-06-01","Filled Up"
"2018-07-01",NA
"2018-08-01",NA
"2018-09-01",NA
"2018-10-01",NA
"2018-11-01",NA
"2018-12-01",NA
