"code","091417HP"
"taluk","Ron"
"village","HOSALLI"
"lat","15.70139"
"long","75.81111"
"2007-04-01","28.1"
"2007-05-01","28.1"
"2007-06-01","28.1"
"2007-07-01","0"
"2007-08-01","7.05"
"2007-09-01","12.5"
"2007-10-01","10.72"
"2007-11-01","12.3"
"2007-12-01","13.1"
"2008-04-01",15.85
"2008-05-01",15.85
"2008-06-01",15.85
"2008-07-01",18.2
"2008-08-01",18.35
"2008-09-01",18.5
"2008-10-01",18.3
"2008-11-01",14.49
"2008-12-01",85.9
"2009-04-01","0"
"2009-05-01","0"
"2009-06-01","0"
"2009-07-01","19.9"
"2009-08-01","21.12"
"2009-09-01","19"
"2009-10-01","19.5"
"2009-11-01","10"
"2009-12-01","9.5"
"2010-01-01","10"
"2010-02-01","7.40000009536743"
"2010-03-01","6.30000019073486"
"2010-04-01","6.5"
"2010-05-01","7.19999980926514"
"2010-06-01","9.80000019073486"
"2010-07-01","9"
"2010-08-01","8.80000019073486"
"2010-09-01","8.69999980926514"
"2010-10-01","7.80000019073486"
"2010-11-01","7.40000009536743"
"2010-12-01","7.59999990463257"
"2011-01-01","7.9"
"2011-02-01","Lock Jam"
"2011-03-01","Lock Jam"
"2011-04-01","Lock Jam"
"2011-05-01","Lock Jam"
"2011-06-01","Lock Jam"
"2011-07-01","Lock Jam"
"2011-08-01","Lock Jam"
"2011-09-01","Lock Jam"
"2011-10-01","Lock Jam"
"2011-11-01","Lock Jam"
"2011-12-01","Lock Jam"
"2012-01-01","Lock Jam"
"2012-02-01","Lock Jam"
"2012-03-01","Lock Jam"
"2012-04-01","Lock Jam"
"2012-05-01","Lock Jam"
"2012-06-01","Lock Jam"
"2012-07-01","Lock Jam"
"2012-08-01","Lock Jam"
"2012-09-01","Lock Jam"
"2012-10-01","Lock Jam"
"2012-11-01","Lock Jam"
"2012-12-01","Lock Jam"
"2013-01-01","Lock Jam"
"2013-02-01","Lock Jam"
"2013-03-01","Lock Jam"
"2013-04-01","Lock Jam"
"2013-05-01","Lock Jam"
"2013-06-01","Lock Jam"
"2013-07-01","Lock Jam"
"2013-08-01","Lock Jam"
"2013-09-01","Lock Jam"
"2013-10-01","Lock Jam"
"2013-11-01","Lock Jam"
"2013-12-01","Lock Jam"
"2014-01-01","Lock Jam"
"2014-02-01","Lock Jam"
"2014-03-01","Lock Jam"
"2014-04-01","Lock Jam"
"2014-05-01","Lock Jam"
"2014-06-01","Lock Jam"
"2014-07-01","Lock Jam"
"2014-08-01","Lock Jam"
"2014-09-01","Lock Jam"
"2014-10-01","Lock Jam"
"2014-11-01","Lock Jam"
"2014-12-01","Lock Jam"
"2015-01-01","Lock Jam"
"2015-02-01","Lock Jam"
"2015-03-01","Lock Jam"
"2015-04-01","Lock Jam"
"2015-05-01","Lock Jam"
"2015-06-01","Lock Jam"
"2015-07-01","Lock Jam"
"2015-08-01","Lock Jam"
"2015-09-01","Lock Jam"
"2015-10-01","Lock Jam"
"2015-11-01","Lock Jam"
"2015-12-01","Lock Jam"
"2016-01-01","Lock Jam"
"2016-02-01","Lock Jam"
"2016-03-01","Lock Jam"
"2016-04-01","0"
"2016-05-01","Lock Jam"
"2016-06-01","Lock Jam"
"2016-07-01","Lock Jam"
"2016-08-01","Lock Jam"
"2016-09-01","Lock Jam"
"2016-10-01","Lock Jam"
"2016-11-01","Lock Jam"
"2017-01-01",NA
"2017-02-01",NA
"2017-03-01",NA
"2017-04-01","-"
"2017-05-01","-"
"2017-06-01",NA
"2017-07-01","collppsed"
"2017-08-01","Dry"
"2017-09-01","Dry"
"2017-10-01","Pump Installed"
"2017-11-01","Pump Installed"
"2017-12-01","Pump Installed"
"2018-01-01","collppsed"
"2018-02-01","collppsed"
"2018-03-01","collppsed"
"2018-04-01","collppsed"
"2018-05-01","collppsed"
"2018-06-01","collppsed"
"2018-07-01",NA
"2018-08-01",NA
"2018-09-01",NA
"2018-10-01",NA
"2018-11-01",NA
"2018-12-01",NA
