"code","91408"
"taluk","Ron"
"village","RON"
"lat","15.7"
"long","75.73333"
"2007-04-01","21.56"
"2007-05-01","31.56"
"2007-06-01","31.56"
"2007-07-01","2937"
"2007-08-01","27.3"
"2007-09-01","20.5"
"2007-10-01","18.3"
"2007-11-01","18.9"
"2007-12-01","19.87"
"2008-04-01",21.5
"2008-05-01",21.5
"2008-06-01",21.5
"2008-07-01",26
"2008-08-01",25.2
"2008-09-01",26.5
"2008-10-01",26
"2008-11-01",26.4
"2008-12-01",16.5
"2009-04-01","27.4"
"2009-05-01","27.4"
"2009-06-01","27.4"
"2009-07-01","27"
"2009-08-01","27.27"
"2009-09-01","26.71"
"2009-10-01","26.15"
"2009-11-01","20.16"
"2009-12-01","0"
"2010-01-01","Pump installed"
"2010-02-01","Pump installed"
"2010-03-01","Pump installed"
"2010-04-01","Pump installed"
"2010-05-01","Pump installed"
"2010-06-01","Pump installed"
"2010-07-01","Pump installed"
"2010-08-01","Pump installed"
"2010-09-01","Pump installed"
"2010-10-01","Pump installed"
"2010-11-01","Pump installed"
"2010-12-01","Pump installed"
"2011-01-01","Pump installed"
"2011-02-01","Pump installed"
"2011-03-01","Pump installed"
"2011-04-01","Pump installed"
"2011-05-01","Pump installed"
"2011-06-01","Pump installed"
"2011-07-01","Pump installed"
"2011-08-01","Pump installed"
"2011-09-01","Pump installed"
"2011-10-01","Pump installed"
"2011-11-01","Pump installed"
"2011-12-01","Pump installed"
"2012-01-01","Dry"
"2012-02-01","Dry"
"2012-03-01","Dry"
"2012-04-01","Dry"
"2012-05-01","Dry"
"2012-06-01","Dry"
"2012-07-01","Dry"
"2012-08-01","Dry"
"2012-09-01","Dry"
"2012-10-01","Dry"
"2012-11-01","Dry"
"2012-12-01","Dry"
"2013-01-01","Pump installed"
"2013-02-01","Pump installed"
"2013-03-01","Pump installed"
"2013-04-01","Pump installed"
"2013-05-01","Pump installed"
"2013-06-01","Pump installed"
"2013-07-01","Pump installed"
"2013-08-01","Pump installed"
"2013-09-01","Pump installed"
"2013-10-01","Pump installed"
"2013-11-01","Pump installed"
"2013-12-01","Pump installed"
"2014-01-01","Pump installed"
"2014-02-01","Pump installed"
"2014-03-01","Pump installed"
"2014-04-01","Pump installed"
"2014-05-01","Pump installed"
"2014-06-01","Pump installed"
"2014-07-01","Pump installed"
"2014-08-01","Pump installed"
"2014-09-01","Pump installed"
"2014-10-01","Pump installed"
"2014-11-01","Pump installed"
"2014-12-01","Pump installed"
"2015-01-01","Pump installed"
"2015-02-01","Pump installed"
"2015-03-01","Pump installed"
"2015-04-01","Pump installed"
"2015-05-01","Pump installed"
"2015-06-01","Pump installed"
"2015-07-01","Pump installed"
"2015-08-01","Pump installed"
"2015-09-01","Pump installed"
"2015-10-01","Pump installed"
"2015-11-01","Pump installed"
"2015-12-01","Pump installed"
"2016-01-01","Pump installed"
"2016-02-01","Pump installed"
"2016-03-01","Pump installed"
"2016-04-01","0"
"2016-05-01","Pump installed"
"2016-06-01","Pump installed"
"2016-07-01","Pump installed"
"2016-08-01","Pump installed"
"2016-09-01","Pump installed"
"2016-10-01","Pump installed"
"2016-11-01","Pump installed"
"2017-01-01",NA
"2017-02-01",NA
"2017-03-01",NA
"2017-04-01","-"
"2017-05-01","-"
"2017-06-01",NA
"2017-07-01","Dry"
"2017-08-01","Dry"
"2017-09-01","Dry"
"2017-10-01","Dry"
"2017-11-01","Dry"
"2017-12-01","Pump Installed"
"2018-01-01","Dry"
"2018-02-01","Dry"
"2018-03-01","Dry"
"2018-04-01","Dry"
"2018-05-01","Dry"
"2018-06-01","Dry"
"2018-07-01",NA
"2018-08-01",NA
"2018-09-01",NA
"2018-10-01",NA
"2018-11-01",NA
"2018-12-01",NA
