"code","91706"
"taluk","Shirahatti"
"village","VADAVIHOSUR"
"lat","15.04444"
"long","75.68611"
"2007-04-01","0"
"2007-05-01","0"
"2007-06-01","0"
"2007-07-01","0"
"2007-08-01","0"
"2007-09-01","0"
"2007-10-01","0"
"2007-11-01","0"
"2007-12-01","0"
"2008-04-01",0
"2008-05-01",0
"2008-06-01",0
"2008-07-01",0
"2008-08-01",0
"2008-09-01",0
"2008-10-01",0
"2008-11-01",0
"2008-12-01",0
"2009-04-01","0"
"2009-05-01","0"
"2009-06-01","0"
"2009-07-01","0"
"2009-08-01",NA
"2009-09-01","0"
"2009-10-01","0"
"2009-11-01","0"
"2009-12-01","0"
"2010-01-01","Cap Jam"
"2010-02-01","Cap Jam"
"2010-03-01","Cap Jam"
"2010-04-01","Cap Jam"
"2010-05-01","Cap Jam"
"2010-06-01","Cap Jam"
"2010-07-01","Cap Jam"
"2010-08-01","Cap Jam"
"2010-09-01","Cap Jam"
"2010-10-01","Cap Jam"
"2010-11-01","Cap Jam"
"2010-12-01","Cap Jam"
"2011-01-01","Cap jam"
"2011-02-01","Cap jam"
"2011-03-01","Cap jam"
"2011-04-01","Cap jam"
"2011-05-01","Cap jam"
"2011-06-01","Cap jam"
"2011-07-01","Cap jam"
"2011-08-01","Cap jam"
"2011-09-01","Cap jam"
"2011-10-01","Cap jam"
"2011-11-01","Cap jam"
"2011-12-01","Cap jam"
"2012-01-01","Cap Jam"
"2012-02-01","Cap Jam"
"2012-03-01","Cap Jam"
"2012-04-01","Cap Jam"
"2012-05-01","Cap Jam"
"2012-06-01","Cap Jam"
"2012-07-01","Cap Jam"
"2012-08-01","Cap Jam"
"2012-09-01","Cap Jam"
"2012-10-01","Cap Jam"
"2012-11-01","Cap Jam"
"2012-12-01","Cap Jam"
"2013-01-01","cap jam"
"2013-02-01","cap jam"
"2013-03-01","cap jam"
"2013-04-01","cap jam"
"2013-05-01","cap jam"
"2013-06-01","cap jam"
"2013-07-01","10.5500001907349"
"2013-08-01","10.3999996185303"
"2013-09-01","10.3000001907349"
"2013-10-01","10.1499996185303"
"2013-11-01","10.1499996185303"
"2013-12-01","10.3000001907349"
"2014-01-01","10.5500001907349"
"2014-02-01","10.8999996185303"
"2014-03-01","10.3000001907349"
"2014-04-01","11.75"
"2014-05-01","Cap Jam"
"2014-06-01","Cap Jam"
"2014-07-01","Cap Jam"
"2014-08-01","Cap Jam"
"2014-09-01","Cap Jam"
"2014-10-01","Cap Jam"
"2014-11-01","Cap Jam"
"2014-12-01","Cap Jam"
"2015-01-01","Cap Jam"
"2015-02-01","Cap Jam"
"2015-03-01","Cap Jam"
"2015-04-01","Cap Jam"
"2015-05-01","Cap Jam"
"2015-06-01","5.40000009536743"
"2015-07-01","6.38000011444092"
"2015-08-01","7.21999979019165"
"2015-09-01","7.09999990463257"
"2015-10-01","6.80000019073486"
"2015-11-01","6.90000009536743"
"2015-12-01","8"
"2016-01-01","10.1"
"2016-02-01","11.99"
"2016-03-01","12.15"
"2016-04-01","13.65"
"2016-05-01","15.72"
"2016-06-01","15.45"
"2016-07-01","15"
"2016-08-01","13.9"
"2016-09-01","14.35"
"2016-10-01","17.35"
"2016-11-01","17.37"
"2017-01-01","17.95"
"2017-02-01","18.1"
"2017-03-01","18.1"
"2017-04-01","17.8"
"2017-05-01","17.3"
"2017-06-01","17.8"
"2017-07-01","18"
"2017-08-01","17.1"
"2017-09-01","16.5"
"2017-10-01","14.5"
"2017-11-01","14.9"
"2017-12-01","15.5"
"2018-01-01","15.75"
"2018-02-01","15.8"
"2018-03-01","16.5"
"2018-04-01","17.1"
"2018-05-01","18.1"
"2018-06-01","17.5"
"2018-07-01",NA
"2018-08-01",NA
"2018-09-01",NA
"2018-10-01",NA
"2018-11-01",NA
"2018-12-01",NA
