code,X130101,X130102,X130104,X130105,X130106,X130108,X130109,X130110,X130111,X130112,X130114
taluk,Bagepalli,Bagepalli,Bagepalli,Bagepalli,Bagepalli,Bagepalli,Bagepalli,Bagepalli,Bagepalli,Bagepalli,Bagepalli
village,Bagepalli,Chelur,Achaganapalli,Mittemari,Pathapalya,Chakavelu,Billur,Thattagaranapalli,Gorthapalli,Maragangunte,Gulur
lat,13.78333,13.70611,13.3811,13.68306,13.755,13.82472,13.5125,13.85778,13.92389,13.88806,13.84
long,77.78194,78.10111,77.5758,77.86611,77.94722,78.09917,78.0023,77.94056,77.95778,77.78194,77.85306
2007-01-01,13.1,5.05,8.15,6.02,8.6,15.4,-,19.9,5.35,23.3,-
2007-02-01,14.3,5.4,8.55,6.85,8.95,16.1,-,20.85,5.8,23.9,-
2007-03-01,15.4,6.05,9.1,7.6,9.8,17.15,-,22.05,6.4,24.85,-
2007-04-01,17.6,7.2,10.15,8.35,12.85,18.8,-,26.2,7.65,27.15,-
2007-05-01,16.5,7.35,13.15,9.2,17.3,19.45,-,30,7.3,30.3,-
2007-06-01,15.05,7.15,13.2,9.05,17.05,19.3,-,29.5,7.2,29.95,-
2007-07-01,15.3,6.45,13.35,10.1,17.3,19.08,-,29.3,7.35,29.65,-
2007-08-01,5.15,6.7,13.5,10.25,17.5,18.15,-,29.15,7.45,29.85,-
2007-09-01,8.1,5.25,12.75,5.95,16,12.35,-,26.3,6,26.2,-
2007-10-01,8,5.05,12,5.8,14.6,12,-,24.9,5,25,-
2007-11-01,7,5.9,6.95,4.8,5.2,14.3,-,20.6,2.95,20.9,-
2007-12-01,7.17,6.05,6.5,4.95,5.05,14.6,-,11.1,3.1,12,-
2008-01-01,8.4,5.85,6.7,5.1,5.15,16.5,-,11.3,3.25,10.6,-
2008-02-01,9.2,6.1,6.8,5,6,17.05,-,11.4,3.15,12.1,-
2008-03-01,10.25,6.4,6.7,5.3,6.15,17.55,-,15,3.3,12,-
2008-04-01,8.85,6.75,6.85,5.45,6.6,16.55,-,17,4.9,14.6,-
2008-05-01,9.4,7.45,9.6,5.65,8.46,17.6,-,19.6,5.3,16.5,-
2008-06-01,9.65,8.1,10.05,5.85,9.1,18.15,-,20.5,5.65,17.6,-
2008-07-01,7.5,8.4,9,5.75,7.3,15.1,32.3,18.8,5.5,17,-
2008-08-01,8,8.65,7.9,5.85,7.15,15.75,32,18,5.65,16.5,-
2008-09-01,5.5,7.05,3.85,4.6,3.8,11.4,25.85,19.1,1,7.65,-
2008-10-01,4.5,6.3,4.85,5.2,2.9,12,23.95,20.2,1.7,7.45,-
2008-11-01,5.45,6.1,4.35,5.05,2.5,13.95,19,16,1.35,8.25,-
2008-12-01,6,5.9,4.55,5.5,3.4,12.8,12.15,16.2,1.7,8.75,-
2009-01-01,5,5.3,6.35,5.8,3.5,13.7,16.95,15.2,2.8,12.55,-
2009-02-01,6.2,6.05,7.1,6.4,5.3,14.7,23.65,16.8,4,13.35,-
2009-03-01,6,6.9,7.5,6.8,5.9,16.5,24.3,15.4,5.3,4.2,-
2009-04-01,6.5,7.3,7.9,7,6.2,17.95,25.55,18.4,5.6,15.55,-
2009-05-01,7.6,7.85,7.55,7.1,5.25,18.2,24.45,10.8,4.8,14.45,-
2009-06-01,6,7.9,8.15,7.1,6.3,16.8,27.65,18.1,5.8,14.35,-
2009-07-01,7.35,8.5,8.55,7.15,6.8,17.4,22.8,18.8,6.9,17.55,-
2009-08-01,7.9,9.4,7.85,7.3,9.4,19.4,24.05,18.3,6.4,17.35,-
2009-09-01,4.4,7.2,6.35,7.1,7.6,10.7,21.55,7.7,5.9,14.25,-
2009-10-01,8.35,7.5,6.29,6.2,5.2,13.6,22.25,7.6,4.7,14.15,-
2009-11-01,3.2,6.8,3.25,6.6,4.7,11.3,10.75,4.9,4.2,14.25,-
2009-12-01,5.9,6.7,4.05,6.8,5.2,14,20.05,5.1,4.4,15.05,-
2010-01-01,6.7,7.6,5.95,9.1,4.8,15.5,22.25,7.4,5.2,15.85,NA
2010-02-01,8.1,8.7,6.45,10.7,5.5,17.55,22.45,8.7,6.4,17.05,NA
2010-03-01,9.3,9.8,7.25,11.6,6.2,18.4,23.05,9.1,7.6,18.55,NA
2010-04-01,9.6,10.3,7.05,9.6,6.8,17,21.55,8.5,7.2,18.05,NA
2010-05-01,8.2,10.3,9.4,9.9,7.7,17.4,23.7,10.7,7,19.4,NA
2010-06-01,6.2,8.3,8.55,8.9,6.6,14.1,22.45,12.39,7.2,20.5,NA
2010-07-01,5.7,9.3,6.35,10.4,6.7,16.6,23.15,8.3,7.4,19.45,NA
2010-08-01,4.9,9.9,5.65,7.2,5.7,12.6,20.75,10.34,3.6,18.95,NA
2010-09-01,3.95,17.6,4.65,8.1,5.6,11.6,20.05,10.7,4.4,18.55,NA
2010-10-01,4.9,17,5.55,6.9,5.6,11.6,18.55,10.2,4.5,18.45,NA
2010-11-01,5.5,10.4,1.45,4.6,3.4,7,10.35,4,1.5,14.65,NA
2010-12-01,5.2,7.5,6.55,5.4,4.6,9.4,12.75,9.2,5.1,18.85,NA
2011-01-01,5.6,-,7.95,6.2,-,11.8,24.85,9.95,5.4,19.7,-
2011-02-01,6.2,-,8.25,7.5,-,12.1,25.05,10.05,6.3,23.25,-
2011-03-01,8.6,-,8.55,7.55,-,15,27.45,13.75,4.8,24.95,-
2011-04-01,8.8,-,8.35,7.2,-,16.6,26.95,14,5.65,25.15,24.1
2011-05-01,8.6,-,8.55,7.4,-,16.8,18.25,-,5.9,-,22
2011-06-01,8.7,-,7.95,7.3,-,17,19.05,-,5.1,-,22.8
2011-07-01,8.5,-,7.7,7.8,-,15.8,20.5,-,6.3,-,24
2011-08-01,7.7,-,6.85,8,-,11.7,17.6,-,5.4,-,20.4
2011-09-01,7.9,-,6.45,7.4,-,11.3,16.8,-,5.5,-,17.05
2011-10-01,8,-,4.65,7.45,-,13.4,16.15,-,5.3,-,17.7
2011-11-01,8.2,-,5,7.7,-,13.55,19.65,-,5.8,-,18.9
2011-12-01,9.1,-,6.95,8.3,-,14.3,20.95,-,6,-,19.1
2012-01-01,9.8,-,7.45,9.2,-,16.4,22.15,-,7.3,-,21.4
2012-02-01,10.4,-,8.05,10.3,-,18.7,23.45,-,7.8,-,23.95
2012-03-01,10.8,-,8.25,10.5,-,20.3,24.55,-,-,-,25.2
2012-04-01,11.1,-,8.75,10.7,-,20.4,24.65,-,-,-,23.4
2012-05-01,11.8,-,9.05,12,-,20.8,26.65,-,-,-,23.6
2012-06-01,12.6,-,10,13.3,-,31.2,26.95,-,-,-,24.8
2012-07-01,13.1,-,10.9,13.7,-,31.9,27.05,-,-,-,25.6
2012-08-01,13.5,-,11.25,13.3,-,24.6,27.45,-,-,-,27.3
2012-09-01,13.6,-,11.65,14,-,21.6,27.65,-,-,-,27.6
2012-10-01,12.2,-,10.55,10.25,-,22,28.05,-,-,-,28.1
